district,mean_articles_per_month,n_months_observed
"Urban, Bamako, Bamako, Mali",155.9375,48
"Lakeshore and Riverbank Fishing Zone, Kampala, Central, Uganda",152.76666666666668,30
"Urban, Kampala, Central, Uganda",152.76666666666668,30
"Central Agropastoral, N'Djamena, N'Djamena, Chad",151.70833333333334,48
"Southeastern Marginal Mixed Farming Zone, Kitui Central, Kitui, Kenya",149.5625,48
"Guba Lafto, North Wollo, Amhara, Ethiopia",146.70833333333334,48
"Guba Lafto, North Wello, Amhara, Ethiopia",146.70833333333334,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Sokoto North, Sokoto, Nigeria",144.6875,48
"Bikita-Zaka Highlands Communal, Bikita, Masvingo, Zimbabwe",142.17241379310346,29
"Bikita-Zaka Highlands Communal, Masvingo Rural, Masvingo, Zimbabwe",142.17241379310346,29
"Bikita-Zaka Highlands Communal, Zaka, Masvingo, Zimbabwe",142.17241379310346,29
"Urban, Bikita, Masvingo, Zimbabwe",141.55172413793105,29
"Save River Valley and Ndowoyo Communal, Bikita, Masvingo, Zimbabwe",141.55172413793105,29
"Masvingo Manicaland Middleveld Smallholder, Bikita, Masvingo, Zimbabwe",141.55172413793105,29
"North-west sorghum, maize, soybeans, and rice, Maru, Zamfara, Nigeria",140.875,48
"Sokoto millet, cowpeas, groundnuts, and livestock, Wamako, Sokoto, Nigeria",139.52083333333334,48
"Cassava dominant with maize, yams, and tree-crops, Ekiti, Nigeria",138.02083333333334,48
"Central yams and maize belt, with cassava, rice, and soybeans, Ekiti, Nigeria",138.02083333333334,48
"South-west cocoa with oil palm, tubers, and cereals, Ekiti, Nigeria",138.02083333333334,48
"South-west cocoa with oil palm, tubers, and cereals, Osun, Nigeria",131.70833333333334,48
"Cassava dominant with maize, yams, and tree-crops, Osun, Nigeria",131.70833333333334,48
"Central yams and maize belt, with cassava, rice, and soybeans, Osun, Nigeria",131.70833333333334,48
"South-east cassava, cereals, and oil palm with extensive off-farm work and trade, Abia, Nigeria",130.91666666666666,48
"Cashews with oil palm, tubers, and maize, Abia, Nigeria",130.41666666666666,48
"Central and Northern Semi Intensive Farming, Gutu, Masvingo, Zimbabwe",128.79310344827587,29
"Masvingo Manicaland Middleveld Smallholder, Gutu, Masvingo, Zimbabwe",128.79310344827587,29
"Northern Cattle and Cereal Farming, Gutu, Masvingo, Zimbabwe",128.79310344827587,29
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Tambuwal, Sokoto, Nigeria",127.64583333333333,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Kebbi, Nigeria",127.29166666666667,48
"Cashews with oil palm, tubers, and maize, Kogi, Nigeria",122.39583333333333,48
"Central yams and maize belt, with cassava, rice, and soybeans, Kogi, Nigeria",122.39583333333333,48
