district,mean_articles_per_month,median_articles_per_month,n_months_observed,total_articles
"Forest Cultivation and Products, Dungu, Haut-Uele, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.5416666666666,493.5,48,27530.0
"Maniema Savannah Agriculture, Kibombo, Maniema, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.5,495.0,48,27528.0
"Orientale Fishing with Agriculture, Kibombo, Maniema, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.5,495.0,48,27528.0
"Copperbelt and Marginal Agriculture, City of Kolwezi, Lualaba, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.2916666666666,496.5,48,27518.0
"Northern Plateau Cassava, Maize, Groundnuts and Beans, Businga, North Ubangi, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.2916666666666,495.0,48,27518.0
"Fishing and Staples Riverine, Businga, North Ubangi, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.2916666666666,495.0,48,27518.0
"Forest Cultivation and Products, Businga, North Ubangi, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.2916666666666,495.0,48,27518.0
"Cassava, Maize and Groundnuts, Kenge, Kwango, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.25,508.5,48,27516.0
"Agriculture with High Production and Marketing, Kenge, Kwango, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.25,508.5,48,27516.0
"High Food Production and Surplus Trade, Kasongo, Maniema, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.2083333333334,494.0,48,27514.0
"Maniema Savannah Agriculture, Kasongo, Maniema, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.2083333333334,494.0,48,27514.0
"Forest Cultivation and Products, Kasongo, Maniema, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.2083333333334,494.0,48,27514.0
"Savannah with Cassava and Cowpeas and Small Livestock, City of Kananga, Kasai-Central, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.1875,493.5,48,27513.0
"Mountain Agropastoral, Lubero, North Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.1666666666666,493.5,48,27512.0
"Virunga Volcanic Soils Agriculture, Goma and Rutshuru, North Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.1666666666666,495.5,48,27512.0
"Forest Cultivation and Products, Lubero, North Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.1666666666666,493.5,48,27512.0
"Cassava, Maize and Groundnuts, Kasangulu, Kongo-Central, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.1458333333334,522.5,48,27511.0
"Orientale Fishing with Agriculture, Basoko, Tshopo, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.0416666666666,493.5,48,27506.0
"Forest Cultivation and Products, Basoko, Tshopo, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.0416666666666,493.5,48,27506.0
"Artisanal Mining with Agriculture, Basoko, Tshopo, Democratic Republic of the Congo, Congo, The Democratic Republic of the",573.0416666666666,493.5,48,27506.0
"Forest Cultivation and Products, Bumba, Mongala, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.9375,495.5,48,27501.0
"Bomongo and Makanza Districts Intensive Fishing, Bolomba, Equateur, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.9375,493.5,48,27501.0
"Northern Plateau Cassava, Maize, Groundnuts and Beans, Bumba, Mongala, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.9375,495.5,48,27501.0
"Fishing and Staples Riverine, Bumba, Mongala, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.9375,495.5,48,27501.0
"Bumba Rice and Tubers, Bumba, Mongala, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.9375,495.5,48,27501.0
"Cassava, Maize and Groundnuts, Bolobo, Mai-Ndombe, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.8541666666666,493.5,48,27497.0
"Fishing and Staples Riverine, Bolobo, Mai-Ndombe, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.8541666666666,493.5,48,27497.0
"Bomongo and Makanza Districts Intensive Fishing, Lukolela, Equateur, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.8541666666666,493.5,48,27497.0
"Agriculture with High Production and Marketing, Bagata, Kwilu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.8125,493.5,48,27495.0
"Cassava, Maize and Groundnuts, Bagata, Kwilu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.8125,493.5,48,27495.0
"Midland Agricultural Savannah, Kabare, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.8125,493.5,48,27495.0
"Fishing and Staples Riverine, Bagata, Kwilu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.8125,493.5,48,27495.0
"Mountain Agropastoral, Fizi, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.7708333333334,494.0,48,27493.0
"Forest Cultivation and Products, Irumu, Ituri, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.7708333333334,493.5,48,27493.0
